COLUMN_NAME	DATA_TYPe
CodNota	int
Num_Nota_Fiscal	int
IdLote	int
nRec	varchar
dhRecbto	datetime
nProt	varchar
INF_cStat	varchar
INF_Motivo	varchar
INF_digVal	varchar
tMed	int
Nat_Operacao	varchar
CFOP	int
Desc_CFOP	varchar
Ind_Pag	int
Cod_Mod_Doc	char
Num_Serie	int
Data_Emissao	datetime
Data_SaiEnt	datetime
Hora_SaiEnt	varchar
NFe	char
Tipo_ProdServ	char
Tipo_NF_EntSai	int
Cod_MunFG	int
Chave_Acesso	char
Ano_Mes_Emissao	char
Num_Mod_Doc	int
Tipo_Impressao	int
Digito_Chave_Acesso	int
Tipo_Ambiente	int
Dest_Tipo_Cli_Forn	char
Dest_Cod_Cli_Forn	int
Dest_Razao	varchar
Dest_CNPJ_CPF	char
Dest_Logradouro	varchar
Dest_Numero	varchar
Dest_Complemento	varchar
Dest_Bairro	varchar
Dest_Cod_Mun	int
Dest_Cod_Pais	int
Dest_Nome_Mun	varchar
Dest_UF	char
Dest_CEP	varchar
Dest_Fone	varchar
Dest_Insc_Estadual	varchar
Dest_Insc_SUFRAMA	varchar
Dest_Opt_Simp_Nac	varchar
Cod_Fatura	int
CI_Base_Calc_ICMS	float
CI_Valor_ICMS	float
CI_Base_Calc_ICMS_ST	float
CI_Valor_ICMS_ST	float
CI_Valor_Frete	float
CI_Valor_Seguro	float
CI_Valor_Desconto	float
CI_Outras_Despesas	float
CI_Valor_COFINS	float
CI_Valor_II	float
CI_Valor_IPI	float
CI_Valor_PIS	float
Valor_Total_Prod	float
Valor_Total_Nota	float
TR_Cod_Transp	int
TR_Razao_Social	varchar
TR_FretePorConta	int
TR_Cod_ANTT	varchar
TR_Placa_Veiculo	varchar
TR_UF_Placa_Veiculo	char
TR_Endereco	varchar
TR_Municipio	varchar
TR_UF	char
TR_CNPJ_CPF	varchar
TR_Logradouro	varchar
TR_Cod_Mun	int
TR_Insc_Estadual	varchar
TR_Qtde	float
TR_Especie	varchar
TR_Marca	varchar
TR_Numeracao	int
TR_Peso_Bruto	float
TR_Peso_Liquido	float
ST_Situacao	int
ST_Retorno	char
Forma_Emissao	int
Finalidade	int
TipoDANFE	int
InfAdFisco	text
InfAdCpl	text
CAN_Data	datetime
CAN_Justicativa	varchar
CAN_Motivo	varchar
Fatura	varchar
Data_Geracao	datetime
Data_Transmissao	datetime
Data_Cancelamento	datetime
CodVenda	int
CodEmitente	int
ISS_cSitTrib	varchar
cNF	varchar
Data_Sped	datetime
CI_Valor_ABAT_NT	float
CI_Valor_PIS_ST	float
CI_Valor_COFINS_ST	float
Aliq_ICMS_ST	float
Ind_EMIT	int
Cod_SIT	int
CI_vTotTrib	float
xImpostos	varchar
oldImpostos	varchar
xPed	varchar
Dest_Email	varchar
Ind_EMITInd_EMIT	int
TransfCredICMS	int
FinNFe	int
IndPres	int
Dest_IndIEDest	int
IdEstrangeiro	varchar
Chave_Referenciada	varchar
Tipo_Operacao	int
xFlag	char
impressa	int
Dest_RegimeEspecialICMS	int
ReImpressa	int
Troco	float
Baixa_Fiscal	int
CodEmpenho	int
Exporta_UFEmbarque	varchar
Exporta_LocalEmbarque	varchar
Exporta_UFSaida	varchar
Exporta_LocalExportacao	varchar
Exporta_LocalDespacho	varchar
Nome_Pais	varchar
pRedBCEfet	float
vBCEfet	float
pICMSEfet	float
vICMSEfet	float
Valor_ICMS_Difal_Dest	float
Valor_ICMS_Difal_Remet	float
Valor_FCP_Difal	float
Valor_BC_ICMS_Difal	float
CI_ICMS_Desoneracao	float
CI_IpiDevol	float
IndIEDest	int
Entrega_CNPJ	varchar
Entrega_Empresa	varchar
Entrega_xLgr	varchar
Entrega_nro	varchar
Entrega_xCpl	varchar
Entrega_xBairro	varchar
Entrega_cMun	int
Entrega_xMun	varchar
Entrega_UF	varchar
Entrega_Cep	varchar
